Dataset Name,Domain,Number of Variables at each time point,Number of Time Points,Time interval between points,Primary Source Repository,Link to Data,Detailed Description,Comments,Original Row #,Number of Versions,Reconciler Version,Reconciler Status,Reconciliation Notes,Informer,Monash TSER,UTSD,AutoGluon,Darts,TSLib,TSFM-Granite,TSFM-Core,TSFM-Bench,LOTSA,Prophet,NeuralForecast,Merlion,Aeon,DataLoop,NonUCR-UCI,UCR,UEA,MONSTER,Monash,Monash-Common,Monash-small,M1,M2,M3,M4,M5,M6,TSB-UAD MOMENT,TSB-UAD Full,Hackernoon,Monash Moment,Kaggle TS,FastML,Time-LLM,AutoTimes,ST-LLM,LLM-Time,LLM-Mixer,LLM-prompt,LLM-PS,One Fits All,Lag-Llama,Chronos-Pre,Chronos-Eval1,Chronos-Eval2,ChronosBolt-Pre,ChronosBolt-Eval1,ChronosBolt-Eval2,ChronosX-Eval2,ChronosX-Synth,ChronosX-Pre,ChronosX-Eval1,TS-RAGZSEval,TS-RAGPreT,Tempo,TimeBench,InstructTime,LPTM-Pre,LPTM-Eval,TS2Vec-Bench,TS2Vec-PreT,Automixer,TTM-PreT,TTM-Eval,TTM-Bench,TSMamba-ZS,TSMamba-FullShot,TimeGPT,GHPT,TimesNet,TimesFM,Time-MOE,Timer-XL,LightGTS,CiK,NSF HDR,MLCommons-EQ,@
ECG,Medical/Healthcare,1,"~230,352 (average length per series)",Not specified (likely varies due to preprocessing/segmentation),MBA_ECG14046 (original series) distributed via The Datum,https://www.thedatum.org/datasets/TSB-UAD-Public.zip,"A dataset derived from a single long ECG time series (MBA_ECG14046) designed for anomaly detection, specifically ventricular premature contractions (PVCs). The original series has been split into 47 shorter series. Anomalies are represented as deviations from the typical periodic ECG pattern.","The source is the MIT-BIH Arrhythmia Database. This dataset tests the model's ability to detect short, distinct anomalous shapes (point anomalies) within a periodic signal.",129,1,10,Split into 3 records on 2025-08-01 17:56:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECG,Health,1,230352,~2.78 ms (360 Hz),PhysioNet (MIT-BIH Arrhythmia Database),https://physionet.org/content/mitdb/1.0.0/,"A version of the MIT-BIH Arrhythmia Database processed for anomaly detection, specifically identifying ventricular premature contractions (PVCs).  A long single-lead ECG recording has been segmented into 47 separate series.  Focuses on detecting short, distinct anomalous shapes (point anomalies) within the periodic ECG signal.","The source is the MIT-BIH Arrhythmia Database. This dataset tests the model's ability to detect short, distinct anomalous shapes (point anomalies) within a periodic signal.",129,1,10,Split into 3 records on 2025-08-01 17:56:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECG (2000),Healthcare / Physiology,Varies (processed as univariate series via S3 format),48B,"High-frequency (e.g., 100 Hz, 500 Hz)",PhysioNet,PhysioNet Homepage,"A large archive of recorded complex physiologic signals, primarily electrocardiograms (ECGs). The data is sourced from PhysioBank, a component of the PhysioNet research resource. These datasets contain high-resolution biomedical signals from human subjects.","This dataset introduces high-frequency, complex, and quasi-periodic signals characteristic of biological systems, a distinct pattern class compared to economic or meteorological data.",130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
ECG200,ECG,1,96,Not specified,"timeseriesclassification.com, cs.ucr.edu",ECG200 Description,This dataset contains ECG signals. The binary classification task is to distinguish between normal heartbeats and a specific type of myocardial infarction.,Donated by R. Olszewski. It includes 100 instances for training and 100 for testing.,131,6,10,Auto-reconciled (1 unique source) on 2025-08-01 17:57:13,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
ECG5000,ECG,1,140,Not specified,"timeseriesclassification.com, cs.ucr.edu",ECG5000 Description,"This dataset is derived from the 'BIDMC Congestive Heart Failure Database'. The task is to classify heartbeats into 5 categories (one real, four synthetic).",Created by Y. Chen & E. Keogh. A 5-class problem with 500 training and 4500 testing instances.,132,6,10,Auto-reconciled (1 unique source) on 2025-08-01 17:57:14,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
ECGFiveDays,ECG,1,136,Not specified,"timeseriesclassification.com, cs.ucr.edu",ECGFiveDays Description,This dataset contains ECG data from a single patient over five days. The binary classification task is to distinguish between two states or events.,"Sourced from physionet.org, edited by Y. Chen & E. Keogh. It includes 23 training and 861 testing instances.",133,6,10,Auto-reconciled (1 unique source) on 2025-08-01 17:57:14,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
ECL,Energy/Electricity,Not specified,Not specified,Not specified,Time-LLM GitHub Repository,https://github.com/KimMeen/Time-LLM,Electricity Consuming Load data used in experiments to test semantic meaning of textual prompts.,A high-dimensional task using a preprocessed subset of the original UCI dataset.,134,1,10,Split into 3 records on 2025-08-01 17:57:29,"Multiple Datasets

The name `ECL` is used to refer to at least three distinct datasets and one programming language:

* **Dataset 1: Electricity Consumption Load (Time-LLM):** This dataset focuses on electricity consumption and is used for testing semantic meaning in textual prompts within the Time-LLM GitHub repository.  It lacks detailed information on the data structure.
* **Dataset 2: Electricity Consumption (LightGTS/UCI):** This dataset provides hourly electricity consumption data for 321 clients over three years.  Its source is the UCI Machine Learning Repository via a GitHub repository containing multivariate time series datasets. 
* **Dataset 3: Edgar-CompuStat-Lopucki (ECL):** This is a benchmark dataset for business failure prediction, combining data from Edgar, Compustat, and the Lopucki bankruptcy research database. 
* **ECL (Programming language):** There is also a programming language called ECL (Enterprise Control Language), unrelated to the datasets above.

Therefore, the provided evidence points to multiple datasets mistakenly sharing the same acronym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECL,Energy/Utility,321,26304,1 Hour,GitHub: laiguokun/multivariate-time-series-data,https://raw.githubusercontent.com/laiguokun/multivariate-time-series-data/master/electricity/electricity.txt,Records the hourly electricity consumption (in kWh) of 321 clients from 2012 to 2014.  A high-dimensional task using a preprocessed subset of the original UCI dataset.,A high-dimensional task using a preprocessed subset of the original UCI dataset.,134,1,10,Split into 3 records on 2025-08-01 17:57:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
ECL,Finance/Bankruptcy Prediction,Not specified,Not specified,Not specified,henriarnoUG/ECL GitHub,Not directly available due to paid access requirements of source components. Reconstruction instructions found in the repository.,"Benchmark dataset for business failure prediction combining Edgar, Compustat, and Lopucki bankruptcy data.",A high-dimensional task using a preprocessed subset of the original UCI dataset.,134,1,10,Split into 3 records on 2025-08-01 17:57:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECL (Electricity Consuming Load),Energy (Electricity Consumption),370 (clients),"140,256 observations",15 minutes,UCI Machine Learning Repository (via GitHub: https://github.com/laiguokun/multivariate-time-series-data),https://archive.ics.uci.edu/dataset/321/electricityloaddiagrams20112014;  GitHub: https://github.com/laiguokun/multivariate-time-series-data,Time series of electricity consumption (in kW) of 370 customers. Collected from 2011-01-01 to 2014-12-31.,"Raw dataset at 15-minute intervals.  Frequently referenced by various time series models (e.g. Autoformer, TimeMixer, iTransformer, Informer).",135,4,10,Split into 2 records on 2025-08-01 17:58:09,"Multiple Datasets

The evidence strongly suggests two distinct ECL datasets are being referenced, despite sharing the same acronym.  The key differences lie in the number of clients (variables), the number of observations (time points), and the time interval between data points. One dataset is a downsampled/processed version of the other.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECL (Electricity Consuming Load),Electricity Consumption,321 (clients),~17520 (approximately 2 years of hourly data),Hourly,UCI Machine Learning Repository,https://archive.ics.uci.edu/ml/datasets/ElectricityLoadDiagrams20112014,Hourly electricity consumption data for 321 clients over a subset of the full dataset. Derived from the raw 15-minute interval dataset by aggregating/processing. Covers a period from within the 2011-2014 range.,"A processed version of the raw ECL data, commonly used in benchmarking time series forecasting models.  Contains fewer clients (321) and a lower temporal resolution (hourly) than the original.",135,2,10,Split into 2 records on 2025-08-01 17:58:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECL (Electricity Load Diagrams 2011-2014),Energy,370,140256,15 minutes,UCI Machine Learning Repository,Download (249.2 MB),Contains electricity consumption data for 370 individual clients from 2011 to 2014. Values are in kilowatts (kW) and recorded every 15 minutes. The dataset has no missing values.,Each column represents one client. Each day has 96 measures (24 hours * 4 measures/hour). Time labels report to Portuguese hour.,136,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
ECL (Electricity),Energy,321,26304,1 hour,UCI Machine Learning Repository / THUML,UCI,Records the hourly electricity consumption (in kWh) of 321 clients from 2012 to 2014. The original data was at 15-minute intervals but was aggregated for this benchmark.,"A high-dimensional multivariate forecasting challenge, requiring the model to capture complex correlations across many individual clients.",137,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
EEG,Biomedical,"Multiple (EEG, EOG, chin EMG, event markers; some records also respiration and body temperature)",3000 original time points per segment; whole-night recordings,Not specified (typical EEG sampling rates are high),PhysioNet (Sleep-EDF Database Expanded),PhysioNet Sleep-EDF,"Comprises 197 full-night Polysomnography (PSG) sleep recordings, categorizing sleep stages (N1, N2, N3, REM, Awake, Unknown). Data from 30 healthy subjects and 10 with sleep difficulties.",Used for sleep stage classification. Preprocessed sleep records.,138,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
EigenWorms,Motion,6,17984,Uniform,timeseriesclassification.com,https://www.timeseriesclassification.com/description.php?Dataset=EigenWorms,"This multivariate dataset describes the motion of *C. elegans* worms. The task is to classify the worm's state into 5 categories using 6 derived feature channels capturing morphological characteristics tracked over time from video recordings.  The dataset consists of 259 worm samples, divided into training and testing sets.",A 5-class problem with 128 training and 131 testing instances. Notable for its very long time series. Part of the UEA multivariate archive. Challenges the scalability and memory efficiency of MTSC algorithms.,139,7,10,Split into 2 records on 2025-08-01 17:58:52,"Multiple Datasets

The evidence strongly suggests the existence of two distinct `EigenWorms` datasets, despite some shared characteristics.  The primary difference lies in the number of time points and the data representation. Sources 'UCR' and 'UEA' describe a dataset with 17984 time points representing derived morphological features, while 'UTSD' describes a dataset with approximately 28 time points representing eigenworm amplitudes. This fundamental difference in data structure and the resulting implications for analysis necessitate treating these as separate datasets.  While both relate to *C. elegans* motion, they address different aspects and employ different measurement approaches.",,,,,Y,,,,,,,,Y,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
EigenWorms,Nature,6,27.95 (likely an average or approximation),Not specified,UCR/UEA,UCR/UEA Archive (exact location unclear),A 6-dimensional dataset where each variable represents the amplitude of one of the six 'eigenworms' (base shapes) used to model the movement of *C. elegans*.  These amplitudes capture the worm's posture at each time point.,"Introduces biological motion data, testing the model's ability to understand complex, non-human movement patterns.  Likely derived from a different processing pipeline than Dataset A.",139,1,10,Split into 2 records on 2025-08-01 17:58:52,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elecdemand,Energy,Multiple,10000000,Varies,Qingren/TSFM-ScalingLaws-Dataset,Hugging Face,General electricity demand data.,Adds to the diversity of energy-related time series. 3,140,1,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTR,Electricity Usage Monitoring,1,1311 (Avg. Series Length),Hourly,Not explicitly stated in paper; implied standard benchmark dataset.,Not explicitly provided for the specific version used in the paper. General electricity data sources exist.,Monitors electricity usage of 370 customers over three years. Hourly frequency.,"Used for short-term forecasting and zero-shot learning. The paper  does not specify the number of variables per time point. Often treated as a collection of univariate series for forecasting, though some sources indicate multivariate electricity data. The ""Number of Time Points"" refers to the average length of the time series. This dataset is distinct from the ""Electricity"" dataset which has 321 variables.",141,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Production,Energy/Electricity Production,"2 (Date, Value of consumption)",397 entries,Monthly,"Kaggle (used in a notebook titled ""Electricity Consumption Using Time Series Analysis"")",Kaggle Electric Production Notebook,A classic univariate time series dataset tracking monthly electricity power consumption from January 1985 to January 2018. Frequently employed as an introductory example for fundamental time series analysis and forecasting techniques.,"Ideal for learning core time series concepts such as identifying and modeling trend, seasonality, and achieving stationarity (e.g., ARIMA modeling). Its long historical record makes it suitable for analyzing long-term patterns and cycles.",142,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElectricDevices,Device,1,96,Not specified,"timeseriesclassification.com, cs.ucr.edu",ElectricDevices Description,This dataset contains power consumption data for 7 different types of electrical devices. The task is to classify the device based on its power usage pattern.,Donated by A. Bagnall & J. Lines. A 7-class problem with 8926 training and 7711 testing instances.,143,6,10,Auto-reconciled (1 unique source) on 2025-08-01 17:59:35,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
Electricity (15-minute),"Energy, Power Consumption",370,140256,15 Minutes,UCI Machine Learning Repository,https://archive.ics.uci.edu/ml/datasets/electricityloaddiagrams20112014,"This dataset records the electricity consumption in kW for 370 clients in Portugal from 2011 to 2014, measured at 15-minute intervals, leading to 96 data points per day per client.",Contains no missing values but includes anomalies related to Portuguese daylight saving time shifts in March (23-hour day) and October (25-hour day).  Requires specific preprocessing to address these anomalies. Some research papers resample the data to an hourly frequency.,144,1,10,Split into 3 records on 2025-08-01 17:59:58,"Multiple Datasets. While the name ""Electricity"" is used across numerous sources, there are two distinct datasets referenced:

1.  A high-resolution dataset recording electricity consumption for 370 clients in Portugal at 15-minute intervals, covering the period from 2011 to 2014. This dataset originates from the UCI Machine Learning Repository.  Source 'CiK' describes this dataset.

2.  An hourly aggregated version of the above dataset, focusing on 321 clients and covering 2012-2014.  This version, derived from the original 15-minute data, is commonly used in time series forecasting research. Most sources (GHPT, Monash Moment, One Fits All, TS-RAGZSEval, TS2Vec-PreT, TSLib, Time-LLM, TimesNet) refer to this hourly dataset. Source TTM-Eval mentions electricity data also from UCI, but with significantly more time points and hourly resolution, which is incompatible with the other information provided. It most likely is related to the hourly dataset and has a wrong number of time points, but without further evidence, it will be treated as an independent, third dataset. Source LLM-prompt offers insufficient detail to definitively link it to either dataset.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
Electricity (Hourly),"Energy, Electricity Consumption",321,26304,1 hour,UCI Machine Learning Repository (Aggregated version available via various sources),https://archive.ics.uci.edu/ml/datasets/electricityloaddiagrams20112014 (original); Various aggregated versions available (see associated sources),"Hourly electricity consumption data (kWh) for 321 clients in Portugal, derived by aggregating the original 15-minute data from the UCI Machine Learning Repository, and spanning the years 2012 to 2014. Used for long-term forecasting, time series analysis and few-shot learning.","Derived from a larger, 15-minute interval dataset.  The number of clients is reduced from the original 370 in the 15-minute dataset. The precise preprocessing methods to obtain the hourly data may vary across different sources.",144,8,10,Split into 3 records on 2025-08-01 17:59:58,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,X,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,X,X,,,,,,,,
Electricity (TTM-Eval),Energy,321,"~2,300,000",Hourly,UCI Machine Learning Repository (Processed Version: https://github.com/juyongjiang/TimeSeriesDatasets),"https://archive.ics.uci.edu/dataset/321/electricityloaddiagrams20112014, (Processed Version: https://github.com/juyongjiang/TimeSeriesDatasets)",This dataset records the hourly electricity consumption in kilowatts (kWh) for 321 anonymous clients over a period from 2012 to 2014. It is a classic multivariate forecasting benchmark that tests a model's ability to handle a large number of correlated time series simultaneously.,"This dataset is a direct test of a model's capacity for high-dimensional multivariate forecasting. TTM's multi-level modeling architecture, which employs channel-mixing during the fine-tuning stage, is specifically designed for such scenarios, allowing it to learn and leverage the correlations between the 321 different consumption series.",144,1,10,Split into 3 records on 2025-08-01 17:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
ElectricityLoadDiagrams20112014 (15-minute),Energy/Household Consumption,1 (per client),"min 16032, avg 113341, max 140256 (per client)",15 minutes (15min),UCI Machine Learning Repository,https://archive.ics.uci.edu/ml/datasets/electricityloaddiagrams20112014,"Electricity demand data for 370 households (clients) in Portugal, collected from 2011 to 2014 at 15-minute intervals. Data represents the electricity consumption in kW for each client.","Each client's data may start at different times within the period. The dataset contains no missing values, but some clients have zero values where data collection started later than 2011. Values are in kW, and dividing by 4 converts them to kWh. Data reflects Portuguese time, including daylight saving adjustments.",145,2,10,Split into 3 records on 2025-08-01 18:01:03,"Multiple Datasets. While all sources pertain to electricity consumption data, there are key differences that point to distinct datasets:

* **Number of Variables:** 'Chronos-Eval1' describes a dataset with only one variable at each time point (total electricity consumption).  'ChronosBolt-Eval1' and 'ChronosX-Eval1' describe a dataset with multiple variables (7, including individual appliance usage).
* **Time Interval and Aggregation:** Although all datasets have a base frequency of 15 minutes, some sources ('Chronos-Eval1', UCI Machine Learning Repository) present the raw 15-minute data. 'ChronosX-Eval1' (Hugging Face) mentions averaging to potentially different time intervals but does not specify whether it's hourly data in this instance. Additionally, Zenodo (Source 15) describes an hourly aggregated dataset derived from the original UCI data.
* **Dataset Structure:** Source 'Chronos-Eval1' and Source 2 [ElectricityLoadDiagrams20112014 - UCI Machine Learning Repository] from the UCI Machine Learning Repository clearly indicate a structure where each column represents a *different* client/household.  The other sources suggest a structure where each row represents a time point and the columns represent different features/variables for a *single* household.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
"Individual Household Electric Power Consumption (1-minute, aggregated to 15-minute in some sources)",Energy,"7 (global active/reactive power, voltage, global intensity, 3 sub-meterings)","~2,070,260 (1-minute intervals over 4 years). It is likely aggregated to 15 minutes to give approximately 517,565 time points for some analysis.","Originally 1 minute, but frequently aggregated to 15 minutes.",UCI Machine Learning Repository,https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption,Minute-averaged measurements of electric power consumption in a single household over almost 4 years.  Includes various electrical quantities and sub-metering values.,Contains some missing values (~1.25% of rows). Data represents one household's electricity consumption.,145,1,10,Split into 3 records on 2025-08-01 18:01:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Hourly,Energy,"1 (per client, but often subsets of clients are used)",Varies depending on the chosen period and clients. Example given was 2208 data points (hourly intervals over 3 months). The original data spans from 2011 to 2014.,1 hour (hourly aggregated data),"Derived from UCI, often hosted on other platforms",Varies (see Zenodo and IBM Watsonx examples),Hourly aggregated electricity consumption data derived from the UCI ElectricityLoadDiagrams20112014 dataset. Contains time series for subsets of the original 370 clients.,"Derived dataset, aggregation methods and specific client selection may vary between instances.",145,1,10,Split into 3 records on 2025-08-01 18:01:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity (ECL),Energy,321,"~26,300 (Note: Discrepancy between sources likely due to data cleaning/preprocessing variations. Using approximate value.)","15 minutes (raw), aggregated to hourly for benchmarking",UCI Machine Learning Repository,https://archive.ics.uci.edu/dataset/321/electricityloaddiagrams20112014 (This link provides direct access to the dataset.),"This dataset comprises electricity consumption (in kWh) for 321 customers gathered from over 2,000 U.S. utilities between 2012 and 2014. Raw data is recorded at 15-minute intervals, but it is commonly aggregated to hourly intervals for benchmark studies.  Each of the 321 variables corresponds to a distinct time series, thus presenting a high-dimensional forecasting challenge. This structure allows models to identify and leverage common consumption trends across a broad group of related time series.","The time period discrepancy mentioned in one source is resolved. The correct period is 2012-2014, confirmed across multiple sources.  A slight variation in the exact number of time points might exist due to different data preprocessing approaches.",146,2,10,Reconciled on 2025-08-01 18:01:50,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity (Weekly),Energy/Household Consumption,Multiple (7 variables),156,1W,UCI Machine Learning Repository,https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption,Weekly aggregated electricity consumption (in kW) for 370 households. Dataset contains some missing values.,"This dataset provides a weekly aggregated view of electricity consumption, useful for identifying longer-term trends and seasonal patterns. 1",147,1,10,Split into 3 records on 2025-08-01 18:02:28,"Multiple Datasets

The sources provide evidence for three distinct datasets, despite sharing the name ""Electricity (Weekly)"".  Key differences include the number of variables, number of time points, primary source repositories, and detailed descriptions.  While some datasets are related (e.g., derived from each other through aggregation), they are distinct enough to warrant separate Golden Records.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity (Weekly),Energy,Multiple (Energy Consumption + Load Features),156,Weekly,Hugging Face / Monash Time Series Forecasting Repository,https://huggingface.co/datasets/autogluon/chronos_datasets,Weekly electricity consumption patterns for 321 clients. Contains 321 time series.,"This dataset provides a weekly aggregated view of electricity consumption, useful for identifying longer-term trends and seasonal patterns. 1",147,1,10,Split into 3 records on 2025-08-01 18:02:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
electricity_weekly,Energy,>1 (Multivariate),3757,Weekly,Zenodo,https://zenodo.org/record/4656141,"A weekly aggregated version of the hourly electricity consumption dataset, containing 321 time series. Sourced from UCI.","This dataset provides a weekly aggregated view of electricity consumption, useful for identifying longer-term trends and seasonal patterns. 1",147,1,10,Split into 3 records on 2025-08-01 18:02:28,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Consuming Load (ECL),Energy,321 clients,26000,Hourly,UCI Machine Learning Repository,UCI Link,"This dataset contains the electricity consumption of 321 clients, recorded every hour from 2012 to 2014. It is a multivariate dataset commonly used for load forecasting tasks.",Source dataset for pre-training the PatchTST model in the patch_tst_transfer.ipynb notebook. Its multivariate nature and substantial length make it suitable for learning general energy consumption patterns. 1,148,1,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual Household Electric Power Consumption,Energy/Household Consumption,Multiple (7 variables),26304,1 Hour (1H),UCI Machine Learning Repository,https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption,"Electricity consumption (in kW) for 370 households, measured over time. Contains 7 variables (global active power, global reactive power, voltage, global intensity, sub-metering 1, sub-metering 2, sub-metering 3)  aggregated hourly.",Dataset contains some missing values. Original dataset from UCI is in 1-minute intervals. Hourly version available via various sources.,149,4,10,Split into 2 records on 2025-08-01 18:03:24,"Multiple Datasets. While all sources pertain to electricity consumption data, there are key differences that point to at least two distinct datasets: one focused on individual household data and another aggregated across multiple clients.  The number of variables, descriptions, and links confirm these are separate datasets.  Sources also disagree on the exact number of households/clients (321, 370) and time points, indicating potential variations or versions within the aggregated dataset.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Hourly Dataset (Aggregated),Energy/Electricity Consumption,321 (one for each client),~26280 (variations exist across sources),1 Hour (1H),"Likely derived from UCI data, various aggregated versions exist (e.g., Zenodo)","Multiple links exist depending on the specific aggregation:  https://doi.org/10.5281/zenodo.3898439 (Zenodo), https://zenodo.org/record/4656140, https://forecastingdata.org/ (Monash)",Aggregated hourly electricity consumption data for 321 clients from 2012 to 2014. Derived from a higher-resolution (likely 15-minute) dataset of individual household consumption.,"This dataset is designed for tasks where individual household detail isn't necessary, such as long-term forecasting or analysis of broader consumption patterns. Variations in the number of time points suggest potential differences in preprocessing or aggregation methods among different published versions.",149,4,10,Split into 2 records on 2025-08-01 18:03:24,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Load Diagrams 2011-2014,Energy/Electricity Consumption,370 clients,"140,256",15 minutes,UCI Machine Learning Repository,https://archive.ics.uci.edu/ml/datasets/ElectricityLoadDiagrams20112014,"This dataset contains electricity consumption data, measured in kilowatts (kW), for 370 clients in Portugal. The data spans from January 2011 to December 2014, with readings taken every 15 minutes, totaling approximately 140,256 data points per client. The data is formatted as a semicolon-delimited CSV file (.txt). Data adjustments are present for daylight savings time: zero values are recorded between 1-2 am in March (23-hour day), and aggregated two-hour values are recorded between 1-2 am in October (25-hour day). All timestamps are in Portuguese local time.",No missing values.  Contains 96 measurements per day.,150,3,10,Reconciled on 2025-08-01 18:04:11,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,
Electricity Transformer Dataset (ETT-small-h1/h2),"Energy/Electricity, Industrial IoT/Sensor Data","8 features (date, OT, HUFL, HULL, MUFL, MULL, LUFL, LULL)","~17,520 data points per dataset",Hourly,"GitHub repository by zhouhaoyi, Beijing Guowang Fuda Science & Technology Development Company",Kaggle ETDataset,"Hourly aggregated variants of the ETT-small datasets, providing a coarser resolution of the data from two electricity transformers. Facilitates faster development and analysis focusing on broader hourly trends.",GitHub ETDataset,151,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
